loss,mae,mape,mse,val_loss,val_mae,val_mape,val_mse,epoch,rmse,val_rmse
2741.399658203125,48.4179573059082,96.74689483642578,2741.399658203125,2685.738037109375,47.536048889160156,93.49121856689453,2685.738037109375,0,52.35837715402498,51.82410671791049
2433.05908203125,45.30583572387695,89.50149536132812,2433.05908203125,2292.0771484375,43.48221969604492,84.42585754394531,2292.0771484375,1,49.326048716993846,47.875642538116395
1991.6634521484375,40.408180236816406,78.58888244628906,1991.6634521484375,1752.7325439453125,37.228816986083984,70.925048828125,1752.7325439453125,2,44.62805678212348,41.86564873431812
1435.3466796875,33.35871505737305,64.1923599243164,1435.3466796875,1143.8602294921875,29.14869499206543,55.40888214111328,1143.8602294921875,3,37.8859694304831,33.82100278661453
887.4547729492188,25.00531768798828,49.34233093261719,887.4547729492188,644.8002319335938,21.04401397705078,42.498958587646484,644.8002319335938,4,29.790179135903475,25.392916963862064
546.4207763671875,18.564245223999023,39.92878723144531,546.4207763671875,429.60931396484375,16.95878028869629,37.17477798461914,429.60931396484375,5,23.37564494013347,20.727018935795947
436.1576232910156,16.469791412353516,37.282718658447266,436.1576232910156,371.79669189453125,15.665363311767578,35.07197952270508,371.79669189453125,6,20.884387070034293,19.28203028455591
391.241455078125,15.528679847717285,35.803653717041016,391.241455078125,342.666015625,14.929704666137695,33.52063751220703,342.666015625,7,19.7798244450785,18.511240250858396
359.5628662109375,14.870990753173828,34.631126403808594,359.5628662109375,322.3672790527344,14.502569198608398,32.55956268310547,322.3672790527344,8,18.962142975173915,17.954589359067345
333.65557861328125,14.331193923950195,33.61898422241211,333.65557861328125,306.4649353027344,14.128220558166504,31.66856575012207,306.4649353027344,9,18.266241502106592,17.506139931542144
310.7567443847656,13.828778266906738,32.65886688232422,310.7567443847656,292.8105163574219,13.766266822814941,30.802160263061523,292.8105163574219,10,17.62829385915624,17.111706997182424
290.5625305175781,13.353429794311523,31.754915237426758,290.5625305175781,280.4745178222656,13.389596939086914,29.8918399810791,280.4745178222656,11,17.045894828889978,16.74737346040464
272.87445068359375,12.915332794189453,30.934324264526367,272.87445068359375,269.7547302246094,13.036845207214355,29.040191650390625,269.7547302246094,12,16.518911909795808,16.424211707860117
257.3701477050781,12.505792617797852,30.18630599975586,257.3701477050781,259.72674560546875,12.723298072814941,28.348073959350586,259.72674560546875,13,16.04275997779304,16.116040010048025
243.72193908691406,12.132219314575195,29.514846801757812,243.72193908691406,250.5498504638672,12.41311264038086,27.694168090820312,250.5498504638672,14,15.611596301689142,15.828766549035562
231.93113708496094,11.79166316986084,28.954120635986328,231.93113708496094,242.24942016601562,12.10319709777832,27.047330856323242,242.24942016601562,15,15.229285508025677,15.564363789311004
221.61183166503906,11.477144241333008,28.459280014038086,221.61183166503906,234.77108764648438,11.82280445098877,26.460763931274414,234.77108764648438,16,14.886632650302051,15.322241599925396
213.1967315673828,11.20755672454834,28.056537628173828,213.1967315673828,228.4326629638672,11.587523460388184,25.985897064208984,228.4326629638672,17,14.601257876203091,15.113988982524342
206.34616088867188,10.980833053588867,27.7226505279541,206.34616088867188,222.73968505859375,11.365372657775879,25.52985382080078,222.73968505859375,18,14.364754118629106,14.924465989059499
200.62985229492188,10.781556129455566,27.42670249938965,200.62985229492188,217.7335205078125,11.175439834594727,25.15766143798828,217.7335205078125,19,14.164386760284467,14.755796166517499
195.76498413085938,10.604490280151367,27.15690040588379,195.76498413085938,213.1911163330078,11.017631530761719,24.857797622680664,213.19113159179688,20,13.991604058536653,14.601066111479561
191.7396240234375,10.453821182250977,26.920780181884766,191.7396240234375,209.29541015625,10.87651538848877,24.571300506591797,209.29541015625,21,13.847007764258583,14.467045660958219
188.41590881347656,10.326491355895996,26.709457397460938,188.4158935546875,206.0419464111328,10.755125999450684,24.31586456298828,206.0419464111328,22,13.72646689992321,14.35416129250096
185.5166778564453,10.213896751403809,26.510629653930664,185.51666259765625,203.14056396484375,10.642680168151855,24.078197479248047,203.14056396484375,23,13.620450161344017,14.252738823287395
182.89720153808594,10.113850593566895,26.328449249267578,182.89720153808594,200.36773681640625,10.534741401672363,23.842849731445312,200.36773681640625,24,13.52394918424666,14.155131112653327
180.51507568359375,10.027036666870117,26.160064697265625,180.51507568359375,197.918212890625,10.436946868896484,23.62107276916504,197.918212890625,25,13.435589889677109,14.0683408009127
178.37588500976562,9.9491605758667,26.002822875976562,178.37588500976562,195.6914520263672,10.351363182067871,23.42177963256836,195.6914520263672,26,13.355743521413011,13.988976089277127
176.41909790039062,9.882827758789062,25.862422943115234,176.41909790039062,193.568115234375,10.27112865447998,23.237417221069336,193.568115234375,27,13.282285115912495,13.912875879356324
174.53573608398438,9.821513175964355,25.731050491333008,174.53573608398438,191.65599060058594,10.194463729858398,23.054454803466797,191.65599060058594,28,13.211197375105119,13.843987525297253
172.81935119628906,9.765284538269043,25.6047420501709,172.81935119628906,189.796875,10.122442245483398,22.87837028503418,189.796875,29,13.14607740720741,13.77667866359668
171.20753479003906,9.711223602294922,25.47879981994629,171.20753479003906,188.1783905029297,10.055983543395996,22.710477828979492,188.1783905029297,30,13.084629715434788,13.71781289065169
169.69027709960938,9.659460067749023,25.353492736816406,169.69027709960938,186.66001892089844,9.992732048034668,22.546672821044922,186.66001892089844,31,13.026522064603789,13.662357736529168
168.2753448486328,9.609485626220703,25.228689193725586,168.2753448486328,185.19143676757812,9.930795669555664,22.38600730895996,185.19143676757812,32,12.97209870640186,13.608506044661116
166.90261840820312,9.561474800109863,25.104040145874023,166.90261840820312,183.78150939941406,9.873027801513672,22.234081268310547,183.78150939941406,33,12.919079626978197,13.556603903611482
165.63363647460938,9.514566421508789,24.97901153564453,165.63363647460938,182.40548706054688,9.820178031921387,22.08989143371582,182.40548706054688,34,12.869873211287256,13.5057575522644
164.4362030029297,9.471323013305664,24.8643856048584,164.4362030029297,181.10269165039062,9.770227432250977,21.946897506713867,181.10269165039062,35,12.823268031314392,13.457440011027009
163.2716522216797,9.432042121887207,24.757516860961914,163.2716522216797,179.96560668945312,9.728148460388184,21.829877853393555,179.9656219482422,36,12.77777962799796,13.415126609474925
162.1673126220703,9.396099090576172,24.659109115600586,162.1673126220703,178.76683044433594,9.686445236206055,21.711406707763672,178.76683044433594,37,12.73449302571839,13.370371365236492
161.07334899902344,9.360407829284668,24.56235694885254,161.07334899902344,177.7316131591797,9.646197319030762,21.6003475189209,177.7316131591797,38,12.691467566795554,13.331602047735286
159.99822998046875,9.324685096740723,24.464433670043945,159.99822998046875,176.6915740966797,9.609380722045898,21.502059936523438,176.6915740966797,39,12.649040674314742,13.292538286447765
158.94961547851562,9.290388107299805,24.371774673461914,158.94961547851562,175.78453063964844,9.573019981384277,21.40646743774414,175.78453063964844,40,12.607522178386823,13.258375867339424
157.94583129882812,9.259827613830566,24.28729820251465,157.94583129882812,174.928955078125,9.539441108703613,21.3153018951416,174.928955078125,41,12.56765019002471,13.226071037089019
156.99319458007812,9.229814529418945,24.210533142089844,156.99319458007812,174.11155700683594,9.506657600402832,21.22692108154297,174.11155700683594,42,12.529692517379592,13.195133838155487
156.07325744628906,9.201006889343262,24.13164710998535,156.07325744628906,173.2797393798828,9.475249290466309,21.139171600341797,173.27975463867188,43,12.492928297492508,13.163576817820902
155.13302612304688,9.171602249145508,24.054710388183594,155.13302612304688,172.52194213867188,9.448067665100098,21.062440872192383,172.52194213867188,44,12.455240909875926,13.134760832945222
154.214599609375,9.143107414245605,23.982236862182617,154.214599609375,171.80813598632812,9.419780731201172,20.983930587768555,171.80813598632812,45,12.418317100532382,13.107560260640732
153.3622589111328,9.117587089538574,23.91954231262207,153.3622589111328,171.1477508544922,9.396170616149902,20.92082405090332,171.1477508544922,46,12.38395166782933,13.08234500594187
152.46908569335938,9.089753150939941,23.854677200317383,152.46908569335938,170.55320739746094,9.375957489013672,20.866098403930664,170.55320739746094,47,12.347837288098647,13.059602114821912
